alternatives_considered,anti_jobs,circumstance,complexity,content_gap,content_needs,context,context_tags,contextual_dimension,cross_references,customer_segment,desired_outcomes,difficulty,doc,doc_type,emotional_dimension,emotional_need,evidence,expected_outcome,frequency,functional_dimension,functional_need,goal,granularity,id,importance,job,job_id,job_map_stage,job_performer,job_statement,job_type,linked_adoc_modules,motivation,notes,original_section_title,outcome,pain_point,pain_points,parent_job,persona,prerequisites,primary_persona,priority,related_jobs,satisfaction_with_current_solution,secondary_persona,section,situation,social_need,source_url,strategic_value,success_criteria,supporting_personas,task_type,taxonomy_category,user_persona,workflow_stage
"Checking Operator status via web console, reviewing events or logs",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Installing {gitops-title} Operator using CLI', lines 129-146 [module: modules/installing-gitops-operator-using-cli.adoc, type: PROCEDURE]",All pods in openshift-gitops and openshift-gitops-operator namespaces show Running status,once per cluster,,,,,,critical,,,,"Cluster administrator, Platform engineer",Verify that GitOps Operator pods are running after CLI installation so I can confirm successful deployment,,['modules/installing-gitops-operator-using-cli.adoc'],Ensure all required components are running before using GitOps features,"Two namespaces to check: openshift-gitops (Argo CD components) and openshift-gitops-operator (operator controller). Multiple pods expected including application-controller, applicationset-controller, dex-server, redis, repo-server, and server.",Installing {gitops-title} Operator using CLI,,,,,,,,,,high,,,After applying Subscription resource and waiting for installation to complete,,,,,,,,,Setup
Using Argo CD admin account with username/password,,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Logging in to the Argo CD instance by using the Argo CD admin account', lines 161-168 [module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc, type: PROCEDURE]",Successfully authenticated to Argo CD UI using OpenShift login,each session,,,,,,medium,,,,"Cluster administrator, Developer",Log in to the Argo CD instance using OpenShift credentials so I can access the GitOps dashboard with my existing cluster authentication,,['modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc'],Use familiar OpenShift SSO instead of managing separate Argo CD credentials,Source module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc (PROCEDURE). Requires being member of cluster-admins group. Uses LOG IN VIA OPENSHIFT option in Argo CD UI.,Logging in to the Argo CD instance by using the Argo CD admin account,,,,,,,,,,high,,,"GitOps Operator is installed and ready to use, need to access Argo CD UI",,,,,,,,,Setup
"Using direct URL, command-line oc login to get route",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Logging in to the Argo CD instance by using the Argo CD admin account', lines 157-159 [module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc, type: PROCEDURE]",Argo CD login page opens in new window from console menu,each session,,,,,,medium,,,,"Cluster administrator, Developer",Access the Argo CD UI from the OpenShift web console so I can quickly navigate to GitOps management interface,,['modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc'],Convenient access point integrated with OpenShift console,Navigation path: Red Hat app icon menu -> OpenShift GitOps -> Cluster Argo CD. Icon added to console toolbar after installation.,Logging in to the Argo CD instance by using the Argo CD admin account,,,,,,,,,,high,,,Need to open Argo CD dashboard after Operator installation,,,,,,,,,Setup
"Using OpenShift SSO login, resetting password",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Logging in to the Argo CD instance by using the Argo CD admin account', lines 170-181 [module: modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc, type: PROCEDURE]",Admin password retrieved from openshift-gitops-cluster secret and used for login,rarely,,,,,,medium,,,,Cluster administrator,Retrieve the Argo CD admin password from OpenShift secrets so I can log in using the default admin account,,['modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc'],"Use admin account for initial setup, troubleshooting, or when OpenShift SSO is unavailable",Password stored in openshift-gitops-cluster secret in openshift-gitops namespace. Requires switching to Developer perspective and navigating through Projects -> Secrets.,Logging in to the Argo CD instance by using the Argo CD admin account,,,,,,,,,,medium,,,Need to access Argo CD UI using admin credentials instead of SSO,,,,,,,,,Setup
Attempting installation and troubleshooting errors afterward,,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Section 'Prerequisites', lines 5-12 [assembly introduction]","Confirmed cluster-admin access, web console availability, and Marketplace capability",once per cluster,,,,,,critical,,,,Cluster administrator,Understand prerequisites before installing OpenShift GitOps so I can ensure my cluster meets the requirements,,['cicd/gitops/installing-openshift-gitops.adoc'],Avoid installation failures by verifying prerequisites upfront,"Key prerequisites: cluster-admin role, web console access, Marketplace capability or manual catalog source. Warning about removing community Argo CD Operator if present.",Prerequisites,,,,,,,,,,medium,,,Planning to install GitOps Operator,,,,,,,,,Planning
"Running both operators (not supported), migrating configurations",,,,,,,,,,,,,,,,,"installing-openshift-gitops-reduced.adoc -> Warning in introduction, lines 9-12 [assembly introduction]",Community operator removed and ready to install Red Hat GitOps Operator,once per cluster (if applicable),,,,,,critical,,,,Cluster administrator,Remove the community Argo CD Operator before installing OpenShift GitOps so I can avoid conflicts between the two operators,,['cicd/gitops/installing-openshift-gitops.adoc'],Prevent conflicts and ensure clean installation of supported Red Hat Operator,This is a critical prerequisite. Documentation warns about this conflict but doesn't provide removal procedure.,Prerequisites,,,,,,,,,,low,,,Community Argo CD Operator is already installed in the cluster,,,,,,,,,Planning
,,,,,,,,,,,"['Minimize risk of incompatibility issues', 'Reduce time spent troubleshooting version mismatches', 'Ensure supported configuration before deployment']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Compatibility and support matrix', line 21 [module: modules/go-compatibility-and-support-matrix.adoc, type: REFERENCE]",,,,,,main_job,,,,,Plan,,"When planning a GitOps deployment or upgrade, I want to verify component compatibility with my OpenShift version, so I can ensure all features will work correctly in my environment.",core,,,Source module: modules/go-compatibility-and-support-matrix.adoc (REFERENCE). This is a critical planning job that affects deployment decisions.,,,,,,Platform Administrator,[],,,"['Evaluate whether to upgrade to a new GitOps version', 'Understand technology preview features']",,,Compatibility and support matrix,,,,,,,,,,
,,,,,,,,,,,"['Avoid using unsupported features in production', 'Reduce risk of production issues', 'Plan for GA timeline of preview features']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Technology Preview features', lines 42-79 [module: modules/go-compatibility-and-support-matrix.adoc, type: REFERENCE]",,,,,,main_job,,,,,Plan,,"When evaluating new GitOps features, I want to identify which features are in Technology Preview versus General Availability, so I can decide whether they are safe to use in production.",core,,,"Source module: modules/go-compatibility-and-support-matrix.adoc (REFERENCE). TP features include: custom must-gather tool, Argo Rollouts, ApplicationSet Progressive Rollout, multiple sources for application, and more.",,,,,,Platform Administrator,[],,,"['Understand production readiness of features', 'Plan feature adoption timeline']",,,Compatibility and support matrix,,,,,,,,,,
,,,,,,,,,,,"['Identify features that solve current problems', 'Reduce time spent researching alternatives', 'Understand business value of upgrade']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.9.0', lines 28-50 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]",,,,,,main_job,,,,,What's New,,"When a new GitOps version is released, I want to understand what new capabilities are available, so I can determine if they solve my current pain points or enable new use cases.",core,,,"Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Key features: custom must-gather tool (TP), Argo Rollouts support (TP).",,,,,,Platform Administrator,[],,,"['Evaluate whether to upgrade', 'Plan adoption of new features']",,,Release notes for GitOps 1.9.0,,,,,,,,,,
,,,,,,,,,,,"['Avoid breaking changes during upgrade', 'Minimize downtime during migration', 'Ensure smooth transition to new configuration formats']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Deprecated and removed features 1.9.0', lines 51-62 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]",,,,,,main_job,,,,,Plan,,"When planning an upgrade, I want to know which features are being deprecated or removed, so I can prepare for migration and avoid breaking my existing deployments.",core,,,"Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Critical planning job: .spec.resourceCustomizations deprecated, sso/dex fields extending deprecation to 1.10.0.",,,,,,Platform Administrator,[],,,"['Update custom resources before upgrade', 'Plan migration timeline']",,,Release notes for GitOps 1.9.0,,,,,,,,,,
,,,,,,,,,,,"['Reduce time troubleshooting known issues', 'Minimize unnecessary investigation effort', 'Confirm upgrade will solve my problem']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Fixed issues 1.9.0', lines 64-78 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]",,,,,,main_job,,,,,Troubleshoot,,"When experiencing issues with the current version, I want to check if my problem is a known bug that has been fixed in the new release, so I can decide if upgrading will resolve my issue.",core,,,"Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Fixed issues include: TLS certificate reload, GPG signature verification, TFS Git repository support, HA resource limits, namespace termination blocking.",,,,,,Platform Administrator,[],,,"['Understand upgrade benefits', 'Verify fix applies to my scenario']",,,Release notes for GitOps 1.9.0,,,,,,,,,,
,,,,,,,,,,,"['Avoid hitting known issues in production', 'Reduce incident response time with pre-planned workarounds', 'Minimize unexpected downtime']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Known issues 1.10', lines 79-129 [module: modules/gitops-release-notes-1-9-0.adoc, type: REFERENCE]",,,,,,main_job,,,,,Troubleshoot,,"When planning to deploy or upgrade GitOps, I want to be aware of known issues and their workarounds, so I can avoid or mitigate problems proactively.",core,,,Source module: modules/gitops-release-notes-1-9-0.adoc (REFERENCE). Known issue: Argo CD not reading TLS certificates from argocd-tls-certs-cm config map. Workaround provided with SSL_CERT_DIR env var.,,,,,,Platform Administrator,[],,,"['Implement workarounds before deployment', 'Plan mitigation strategies']",,,Release notes for GitOps 1.9.0,,,,,,,,,,
,,,,,,,,,,,"['Reduce blast radius of failed deployments', 'Enable declarative rollout ordering', 'Minimize service disruption during updates']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 11-22 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Deploy,,"When managing progressive application rollouts, I want to understand how to use ApplicationSet Progressive Rollout Strategy, so I can deploy updates incrementally instead of simultaneously.",core,,,Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Technology Preview feature in 1.8.0. Enables progressive rollouts instead of simultaneous updates.,,,,,Deploy applications with controlled rollout,DevOps Engineer,"['Understand ApplicationSet resources', 'Have Argo CD deployed']",,,"['Monitor application deployment progress', 'Configure rollout strategies']",,,Release notes for GitOps 1.8.0,,,,,,,,,,
,,,,,,,,,,,"['Ensure successful ARM deployment', 'Avoid unsupported configuration choices', 'Plan around ARM-specific limitations']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 26-31 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Plan,,"When running GitOps on ARM architecture, I want to understand platform compatibility and limitations, so I can deploy successfully on ARM-based OpenShift clusters.",core,,,Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Important: spec.sso.provider: keycloak not yet supported on ARM.,,,,,Deploy GitOps across different architectures,Platform Administrator,['Have ARM-based OpenShift cluster'],,,"['Verify operator installation on ARM', 'Understand SSO limitations']",,,Release notes for GitOps 1.8.0,,,,,,,,,,
,,,,,,,,,,,"['Detect component failures quickly', 'Reduce mean time to detection (MTTD)', 'Enable proactive remediation']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 33-33 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Monitor,,"When monitoring Argo CD components, I want to enable workload monitoring and alerts for my instances, so I can detect when component replicas drift from desired state.",core,,,Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Set .spec.monitoring.enabled to true to create PrometheusRule with alert rules for each component.,,,,,Monitor GitOps infrastructure health,SRE,"['Have Argo CD instance deployed', 'Have Prometheus monitoring configured']",,,"['Configure PrometheusRule objects', 'Set up alert receivers']",,,Release notes for GitOps 1.8.0,,,,,,,,,,
,,,,,,,,,,,"['Prevent manifest size errors', 'Enable processing of large monorepos', 'Reduce repository sync failures']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.8.0', lines 35-50 [module: modules/gitops-release-notes-1-8-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Configure,,"When managing large Git repositories with manifests, I want to configure repo server arguments for maximum manifest size, so I can prevent failures when processing large directory structures.",core,,,Source module: modules/gitops-release-notes-1-8-0.adoc (REFERENCE). Example shows --max.combined.directory.manifests.size configuration via extraRepoCommandArgs.,,,,,Configure Argo CD for enterprise-scale repositories,Platform Administrator,"['Have Argo CD instance deployed', 'Understand repo server resource limits']",,,"['Monitor repo server performance', 'Optimize manifest organization']",,,Release notes for GitOps 1.8.0,,,,,,,,,,
,,,,,,,,,,,"['Reduce upgrade steps and complexity', 'Minimize upgrade downtime', 'Understand supported upgrade paths']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.5.0', lines 28-28 [module: modules/gitops-release-notes-1-5-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Upgrade,,"When upgrading GitOps versions, I want to understand how the skipRange annotation affects my upgrade path, so I can plan for direct upgrades skipping intermediate versions.",core,,,Source module: modules/gitops-release-notes-1-5-0.adoc (REFERENCE). CSV has olm.skipRange: '>=1.0.0 <1.5.0' allowing direct upgrade to 1.5.0.,,,,,Plan and execute GitOps operator upgrade,Platform Administrator,['Have existing GitOps operator installed'],,,"['Verify upgrade channels', 'Test upgrade in non-production']",,,Release notes for GitOps 1.5.0,,,,,,,,,,
,,,,,,,,,,,"['Enable SSO with OpenShift credentials', 'Support RBAC using OpenShift groups', 'Reduce authentication management overhead']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'New features 1.5.0', lines 30-36 [module: modules/gitops-release-notes-1-5-0.adoc, type: REFERENCE]",,,,,,user_story,,,,,Secure,,"When integrating Argo CD with OpenShift authentication, I want to use RH-SSO to log in with OpenShift credentials including kube:admin, so I can provide seamless access using existing identity infrastructure.",core,,,"Source module: modules/gitops-release-notes-1-5-0.adoc (REFERENCE). RH-SSO v7.5.1 update enables OpenShift login, RBAC with groups, and HTTP_Proxy support.",,,,,Configure enterprise authentication for Argo CD,Platform Administrator,"['Have Argo CD instance deployed', 'Understand OpenShift RBAC']",,,"['Configure group-based RBAC', 'Set up proxy configuration for SSO']",,,Release notes for GitOps 1.5.0,,,,,,,,,,
,,,,,,,,,,,"['Address critical vulnerabilities promptly', 'Maintain compliance with security policies', 'Reduce attack surface']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'RHSA-2023:5029 security update advisory', lines 15-29 [module: modules/gitops-release-notes-1-9-2.adoc, type: REFERENCE]",,,,,,user_story,,,,,Secure,,"When addressing security vulnerabilities, I want to know what security updates are included in the release, so I can prioritize upgrades based on CVE severity.",core,,,Source module: modules/gitops-release-notes-1-9-2.adoc (REFERENCE). Includes RHSA link and command to view container images.,,,,,Maintain security compliance for GitOps infrastructure,Security Engineer,['Monitor security advisories'],,,"['Review CVE details in RHSA', 'Schedule security patching']",,,Release notes for GitOps 1.9.2,,,,,,,,,,
,,,,,,,,,,,"['Ensure consistent application state across environments', 'Enable recovery from known state', 'Automate configuration management across clusters']",,gitops-release-notes.adoc,,,,"gitops-release-notes.adoc -> Section 'Abstract', lines 10-18",,,,,,main_job,,,,,Plan,,"When implementing continuous deployment for cloud native applications, I want to understand what GitOps can help me achieve, so I can determine if it fits my use case.",core,,,"Overview section describes core GitOps capabilities: consistency across clusters, recovery/recreation, configuration changes, templated config, and promotion across environments.",,,,,,DevOps Engineer,[],,,"['Evaluate GitOps vs traditional CI/CD', 'Understand declarative deployment benefits']",,,Overview,,,,,,,,,,
,,,Medium,,,,,,,,,,,,,,"setting-up-argocd-instance-reduced.adoc -> Section 'Installing Argo CD', lines 9-26 [module: modules/gitops-argo-cd-installation.adoc, type: PROCEDURE]",,,,,,,,,,gitops-001,,,Install and deploy a new Argo CD instance to manage cluster configurations or deploy applications,,,So that I can have an isolated Argo CD instance with permissions to manage resources in my namespace,Source module: modules/gitops-argo-cd-installation.adoc (PROCEDURE). Assembly: cicd/gitops/setting-up-argocd-instance.adoc. This is the primary task for setting up a new Argo CD instance via the OpenShift web console. Includes creating external routes for UI access.,,,,,,Platform administrator,,,High,,,,,When I need to manage cluster configurations or deploy applications using GitOps in a specific namespace,,,,,,Installation,,,Setup and Configuration
,,,Low,,,,,,,,,,,,,,"setting-up-argocd-instance-reduced.adoc -> Section 'Installing Argo CD', line 26 [module: modules/gitops-argo-cd-installation.adoc, type: PROCEDURE]",,,,,,,,,,gitops-002,,,Access the Argo CD web UI after installation,,,So that I can configure and monitor my Argo CD deployments visually,Source module: modules/gitops-argo-cd-installation.adoc (PROCEDURE). Assembly: cicd/gitops/setting-up-argocd-instance.adoc. Final step in the installation procedure - accessing the UI via the created route.,,,,,,Platform administrator,,,High,,,,,When I have installed a new Argo CD instance and need to manage it through the web interface,,,,,,Access,,,Setup and Configuration
,,,Medium,,,,,,,,,,,,,,"setting-up-argocd-instance-reduced.adoc -> Section 'Enabling replicas for Argo CD server and repo server', lines 29-61 [module: modules/gitops-enable-replicas-for-argo-cd-server.adoc, type: PROCEDURE]",,,,,,,,,,gitops-003,,,Scale Argo CD server and repo server replicas to distribute workloads,,,So that my Argo CD instance can handle higher loads and be more resilient,Source module: modules/gitops-enable-replicas-for-argo-cd-server.adoc (PROCEDURE). Assembly: cicd/gitops/setting-up-argocd-instance.adoc. Note: horizontal autoscaler will override manual replica settings if enabled.,,,,,,Platform administrator,,,Medium,,,,,When I need to improve performance and distribute workloads across multiple Argo CD server and repo server pods,,,,,,Scaling,,,Optimization
,,,Low,,,,,,,,,,,,,,"setting-up-argocd-instance-reduced.adoc -> Section 'Deploying resources to a different namespace', lines 63-73 [module: modules/gitops-deploy-resources-different-namespaces.adoc, type: PROCEDURE]",,,,,,,,,,gitops-004,,,Configure Argo CD to manage resources in namespaces other than where it's installed,,,So that I can use a centralized Argo CD instance to manage resources across different project namespaces,Source module: modules/gitops-deploy-resources-different-namespaces.adoc (PROCEDURE). Assembly: cicd/gitops/setting-up-argocd-instance.adoc. Requires labeling target namespaces with argocd.argoproj.io/managed-by label.,,,,,,Platform administrator,,,High,,,,,When I need my Argo CD instance to deploy and manage applications in multiple namespaces across the cluster,,,,,,Authorization,,,Configuration
,,,Medium,,,,,,,,,,,,,,"setting-up-argocd-instance-reduced.adoc -> Section 'Customizing the Argo CD console link', lines 75-114 [module: modules/gitops-customize-argo-cd-consolelink.adoc, type: PROCEDURE]",,,,,,,,,,gitops-005,,,Customize which Argo CD instance appears in the OpenShift console link,,,So that users can access the correct Argo CD instance from the console application launcher without confusion,Source module: modules/gitops-customize-argo-cd-consolelink.adoc (PROCEDURE). Assembly: cicd/gitops/setting-up-argocd-instance.adoc. Requires administrator privileges. Uses DISABLE_DEFAULT_ARGOCD_CONSOLELINK environment variable in the Subscription CR.,,,,,,Platform administrator,,,Medium,,,,,When working in a multi-tenant cluster with multiple Argo CD instances and the wrong instance is linked in the console,,,,,,Customization,,,Configuration
,,,,,,Developer has a Spring Boot application code stored in Git and needs to deploy it to an OpenShift cluster using GitOps practices with Argo CD,,,,,,,,,,,"deploying-a-spring-boot-application-with-argo-cd.adoc -> Assembly 'Deploying a Spring Boot application with Argo CD', lines 1-21 [assembly context and prerequisites]",,regular,,,,,,high,,,,,"When I need to deploy a Spring Boot application to OpenShift, I want to use Argo CD to automate the deployment from a Git repository, so that I can have a reliable, version-controlled deployment process.",,,,Source assembly: cicd/gitops/deploying-a-spring-boot-application-with-argo-cd.adoc. This is a high-level job that encompasses the entire workflow of deploying applications with Argo CD.,,,,"['Manual deployment processes are error-prone and time-consuming', 'Need to ensure consistency between Git repository and cluster state', 'Require visibility into deployment status and history']",,,,,,,,,,,,,,"['Application is successfully deployed to OpenShift cluster', 'Deployment is automated and repeatable', 'Application state matches Git repository definition']",,,,Application Developer,Deploy
,,,,,,Developer is logged into Argo CD and wants to create a new application deployment using the web-based dashboard interface,,,,,,,,,,,"modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc -> Section 'Creating an application by using the Argo CD dashboard', lines 13-59 [module: gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc, type: PROCEDURE]",,regular,,,,,,high,,,,,"When I need to create and configure an Argo CD application, I want to use the Argo CD dashboard to define the application parameters visually, so that I can easily configure the Git repository, sync policy, and deployment destination without writing YAML.",,,,"Source module: modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc (PROCEDURE). Provides GUI-based approach to application creation. Configuration includes Application Name, Project, Sync Policy, Repository URL, Revision, Path, Destination, and Namespace.",,,,"['Need to remember correct YAML syntax for application definitions', 'Want visual feedback while configuring applications', 'May not be familiar with all available configuration options']",,,,,,,,,,,,,,"['Application is created with correct Git repository URL and path', 'Sync policy is properly configured (manual or automatic)', 'Application is associated with the correct namespace and cluster destination', 'Application appears in Argo CD dashboard after creation']",,,,Application Developer,Deploy
,,,,,,"Engineer wants to create Argo CD applications using command-line tools and YAML manifests, enabling automation and version control",,,,,,,,,,,"modules/gitops-creating-an-application-by-using-the-oc-tool.adoc -> Section 'Creating an application by using the oc tool', lines 13-68 [module: gitops-creating-an-application-by-using-the-oc-tool.adoc, type: PROCEDURE]",,regular,,,,,,high,,,,,"When I need to create an Argo CD application from the command line, I want to use the oc tool with application YAML definitions, so that I can automate application creation and integrate it into scripts or CI/CD pipelines.",,,,"Source module: modules/gitops-creating-an-application-by-using-the-oc-tool.adoc (PROCEDURE). Demonstrates declarative approach using oc create command with YAML files. Includes steps to clone sample repository, create application from YAML, verify creation, and label namespace.",,,,"[""GUI-based configuration doesn't fit into automated workflows"", 'Need to version control application configurations', 'Want to create multiple applications programmatically']",,,,,,,,,,,,,,"['Application is created from YAML definition file', 'Application appears in Argo CD and can be managed', 'Namespace is properly labeled for Argo CD management', 'Process can be scripted and automated']",,,,Platform Engineer,Deploy
,,,,,,"After creating an Argo CD application, the target namespace must be labeled to grant Argo CD permission to manage resources within it",,,,,,,,,,,modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc -> lines 56-59; modules/gitops-creating-an-application-by-using-the-oc-tool.adoc -> lines 52-67,,occasional,,,,,,critical,,,,,"When I need to ensure my namespace can be managed by Argo CD, I want to apply the correct label to the namespace, so that the Argo CD instance has permission to deploy and manage resources in that namespace.",,,,Critical configuration step mentioned in both dashboard and oc tool procedures. Label format: 'argocd.argoproj.io/managed-by=openshift-gitops'. Can be done via web console or oc label command.,,,,"['Argo CD deployments fail without proper namespace labels', 'Need to understand RBAC and namespace management', 'Manual namespace configuration is error-prone']",,,,,,,,,,,,,,"['Namespace has the correct label: argocd.argoproj.io/managed-by=openshift-gitops', 'Argo CD can successfully deploy resources to the namespace', 'Application sync operations succeed']",,,,Platform Administrator,Configure
,,,,,,Developer has deployed an application with Argo CD and wants to test that the self-healing feature works by intentionally creating drift between cluster state and Git repository,,,,,,,,,,,"modules/gitops-verifying-argo-cd-self-healing-behavior.adoc -> Section 'Verifying Argo CD self-healing behavior', lines 5-49 [module: gitops-verifying-argo-cd-self-healing-behavior.adoc, type: PROCEDURE]",,occasional,,,,,,medium,,,,,"When I want to understand how Argo CD maintains application consistency, I want to test the self-healing behavior by making manual changes to deployed resources, so that I can verify Argo CD will automatically correct drift from the Git repository.",,,,Source module: modules/gitops-verifying-argo-cd-self-healing-behavior.adoc (PROCEDURE). Demonstrates self-healing by scaling deployment from 1 to 2 pods and observing automatic scale-down back to 1 pod. Events tab in Argo CD shows detection and correction.,,,,"['Uncertainty about whether Argo CD will detect and correct manual changes', 'Need to understand self-healing mechanism before relying on it', 'Want to verify automatic sync is working correctly']",,,,,,,,,,,,,,"['Manual changes to deployment are detected by Argo CD', 'Argo CD automatically reverts changes to match Git repository', 'Events in Argo CD dashboard show detection and correction of drift', ""Application maintains 'Synced' status after auto-healing""]",,,,Application Developer,Verify
,,,,,,Developer needs to update application configuration or code and wants to leverage GitOps workflow where Git is the single source of truth,,,,,,,,,,,modules/gitops-verifying-argo-cd-self-healing-behavior.adoc -> lines 25-36 [demonstrates Git-driven updates],,very frequent,,,,,,high,,,,,"When I need to modify my deployed application, I want to commit changes to the Git repository, so that Argo CD will automatically detect and deploy the updates to my cluster.",,,,"Core GitOps workflow: modify files in Git repository (like deployment.yaml), commit changes, Argo CD detects and deploys automatically. Example shows changing failureThreshold value in deployment configuration.",,,,"['Need to ensure changes are deployed without manual intervention', 'Want to maintain GitOps principles for all changes', 'Require visibility into when changes are detected and applied']",,,,,,,,,,,,,,"['Changes committed to Git repository', 'Argo CD detects changes in configured path', 'Application is automatically synced with new changes', 'Updated resources are deployed to cluster']",,,,Application Developer,Update
,,,,,,Developer or operator wants to check the current state of their Argo CD application and ensure it is properly synchronized,,,,,,,,,,,modules/gitops-verifying-argo-cd-self-healing-behavior.adoc -> lines 19-21 [checking Synced status]; modules/gitops-creating-an-application-by-using-the-argo-cd-dashboard.adoc -> line 25 [accessing dashboard],,frequent,,,,,,medium,,,,,"When I need to verify my Argo CD application is properly synchronized, I want to view the application status in the Argo CD dashboard, so that I can confirm the deployed state matches the Git repository and identify any sync issues.",,,,"Dashboard provides visual representation of application state, resources, and sync status. Users can drill down into individual resources to see details.",,,,"['Need quick visibility into application sync status', 'Want to identify what resources are deployed', 'Require insight into any differences between Git and cluster state']",,,,,,,,,,,,,,"[""Application shows 'Synced' status in dashboard"", 'All deployed resources are visible in application view', 'No out-of-sync resources are detected', 'Application health status is shown']",,,,Application Developer,Monitor
,,,,,,"Engineer is investigating application behavior, sync failures, or self-healing actions and needs detailed event history",,,,,,,,,,,modules/gitops-verifying-argo-cd-self-healing-behavior.adoc -> lines 48-49 [accessing EVENTS tab in APP DETAILS],,occasional,,,,,,high,,,,,"When I need to troubleshoot Argo CD sync issues or understand application lifecycle events, I want to view the application events in the Argo CD dashboard, so that I can see when Argo CD detected changes, performed syncs, or encountered errors.",,,,Events tab accessible via application tile -> APP DETAILS -> EVENTS. Shows detection of drift and resyncing actions. Useful for troubleshooting and understanding Argo CD behavior.,,,,"['Difficult to diagnose why syncs are failing without event history', 'Need timeline of Argo CD actions for debugging', 'Want to understand when and why Argo CD made changes']",,,,,,,,,,,,,,"['Event timeline is visible in Argo CD dashboard', 'Events show detection of out-of-sync resources', 'Events show sync/resync actions taken by Argo CD', 'Timestamps help correlate events with application changes']",,,,Platform Engineer,Troubleshoot
,,,,,,,,,,,"['Minimize time required to enable cluster-scoped management', 'Ensure Argo CD has only necessary permissions', 'Reduce likelihood of permission-related deployment failures']",,configuring-an-openshift-cluster-by-deploying-an-application-with-cluster-configurations.adoc,,,,"modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc, lines 1-51. Main procedure: Edit Subscription to add namespace to ARGOCD_CLUSTER_CONFIG_NAMESPACES environment variable. Verification via UI or CLI.",,,,,,main_job,,,,,Configure,,"When I need to manage cluster-scoped resources with GitOps, I want to configure my Argo CD instance with appropriate permissions, so I can automate cluster configuration through Git without manual intervention.",core,,,Source module: modules/gitops-using-argo-cd-instance-to-manage-cluster-scoped-resources.adoc (PROCEDURE). This is the foundational configuration step for cluster-level GitOps management.,,,,,,Cluster administrator,"['Install GitOps Operator', 'Deploy Argo CD instance']",,,"['Understand default Argo CD permissions', 'Add custom permissions for specific resources']",,,Using an Argo CD instance to manage cluster-scoped resources,,,,,,,,,,
